Gene_Symbol,UniProt_Accessions,Target_Names,Source_Databases,Source_Count,Source_Databases_Excluding_COMET,Source_Count_Excluding_COMET,CrossSupport_Excluding_COMET,Evidence_Tier,In_Strict_25,In_CrossPriority_22,In_Recommended_42,In_Extended_171,SwissTargetPrediction,SuperPred,PharmMapper,PPB3,COMET,PASSTargets,NetInfer,Swiss_Probability,SuperPred_Probability,SuperPred_Model_Accuracy,PharmMapper_Best_Norm_Fit,PharmMapper_Max_zscore,PPB3_Confidence_Score,COMET_Probability,PASSTargets_Max_Activity_Score,NetInfer_Score,NetInfer_Rank,Inclusion_Reason,Interpretation_Note
LYPLA1,O75608,Acyl-protein thioesterase 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.2199,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
MAP2K4,P45985,Dual specificity mitogen-activated protein kinase kinase 4,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0226,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
MBOAT4,Q96T53,Ghrelin O-acyltransferase (EC 2.3.1.-) (Membrane-bound O-acyltransferase domain-containing protein 4) (O-acyltransferase domain-containing protein 4),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.991444,32,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
ME2,P23368,NAD-dependent malic enzyme;mitochondrial,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0031,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
MIF,P14174,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.827365,41,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
MTAP,Q13126,S-methyl-5-thioadenosine phosphorylase,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.9116,0.707287,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
MVD,P53602,Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.44222,17,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
MYLK,Q15746,Myosin light chain kinase;smooth muscle,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0759,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NFE2L2,Q16236,Nuclear factor erythroid 2-related factor 2;Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor;erythroid derived 2;like 2),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0137,0.994384,31,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NFKB1,P19838,Nuclear factor NF-kappa-B p105 subunit,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8117,0.9609,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NR1H2,P55055,Oxysterols receptor LXR-beta,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.9218,0.756229,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NR2C2,P49116,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0333,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NR3C1,P04150,Glucocorticoid receptor;Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0244,0.804871,46,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NR4A2,P43354,Nuclear receptor subfamily 4 group A member 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0841,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
NT5E,P21589,5'-nucleotidase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0897,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OGA,O60502,Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.73241,9,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OPRD1,P41143,Delta-type opioid receptor;Delta-type opioid receptor (D-OR-1) (DOR-1),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0135,0.996497,30,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OPRK1,P41145,Kappa-type opioid receptor;Kappa-type opioid receptor (K-OR-1) (KOR-1),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.2131,1.89741,7,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OPRL1,P41146,Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,2.20345,4,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
OPRM1,P35372,Mu-type opioid receptor (M-OR-1) (MOR-1) (Mu opiate receptor) (Mu opioid receptor) (MOP) (hMOP),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,2.06027,6,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PAX8,Q06710,Paired box protein Pax-8,NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.816687,42,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PDE5A,O76074,5-cyclic phosphodiesterase;cGMP-specific 3,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7215,1.15794,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PEPD,P12955,Xaa-Pro dipeptidase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0223,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PGR,P06401,Progesterone receptor;Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0184,1.29916,19,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PIM1,P11309,Proto-oncogene serine/threonine-protein kinase Pim-1,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7062,0.776474,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PKM,P14618,Pyruvate kinase PKM,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0789,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PNLIP,P16233,Pancreatic triacylglycerol lipase;Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.076,1.111,29,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
POLB,P06746,DNA polymerase beta,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0458,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPARG,P37231,Peroxisome proliferator-activated receptor gamma,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7016,0.967678,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPIA,P62937,Peptidyl-prolyl cis-trans isomerase A,PASSTargets;PharmMapper,2,PASSTargets;PharmMapper,2,True,Strict_and_CrossSupported,True,True,True,True,False,False,True,False,False,True,False,,,,0.9463,1.01718,,,0.0709,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPID,Q08752,Peptidyl-prolyl cis-trans isomerase D,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1674,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPM1B,O75688,Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.810353,44,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PPP5C,P53041,Serine/threonine-protein phosphatase 5,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.2341,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKAA2,P54646,AMPK alpha2/beta1/gamma1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0687,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKAB1,Q9Y478,AMPK alpha2/beta1/gamma1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0687,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKACA,P17612,cAMP-dependent protein kinase catalytic subunit alpha,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.3238,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKAG1,P54619,AMPK alpha2/beta1/gamma1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0687,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKCA,P17252,Protein kinase C alpha type;Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0798,1.17691,26,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKCD,Q05655,Protein kinase C delta type,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1079,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKCE,Q02156,Protein kinase C epsilon type,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0631,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PRKCG,P05129,Protein kinase C gamma type,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.085,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PSMB1,P20618,Proteasome component C5,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0045,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PTAFR,P25105,Platelet-activating factor receptor;Platelet-activating factor receptor (PAF-R) (PAFr),NetInfer;SwissTargetPrediction,2,NetInfer;SwissTargetPrediction,2,True,Strict_and_CrossSupported,True,True,True,True,True,False,False,False,False,False,True,0.9273758288310694,,,,,,,,2.67584,1,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PTGFR,P43088,Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.787381,47,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PTGIR,P43119,Prostacyclin receptor,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0377,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
PTPRC,P08575,Receptor-type tyrosine-protein phosphatase C,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.2558,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
RELA,Q04206,Transcription factor p65,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0966,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
REN,P00797,Renin (EC 3.4.23.15) (Angiotensinogenase),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.47225,16,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
RORC,P51449,Nuclear receptor ROR-gamma,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0511,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SCN1A,P35498,Sodium channel protein type 1 subunit alpha,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0318,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SENP1,Q9P0U3,Sentrin-specific protease 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.2798,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SF3B3,Q15393,Splicing factor 3B subunit 3;Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0661,1.23659,22,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SHBG,P04278,Sex hormone-binding globulin;Sex hormone-binding globulin (SHBG) (Sex steroid-binding protein) (SBP) (Testis-specific androgen-binding protein) (ABP) (Testosterone-estradiol-binding globulin) (TeBG) (Testosterone-estrogen-binding globulin),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.0207,1.65222,10,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SIGMAR1,Q99720,Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.760891,48,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SIRT1,Q96EB6,NAD-dependent protein deacetylase sirtuin-1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.4695,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SIRT6,Q8N6T7,NAD-dependent protein deacylase sirtuin-6,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.063,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC16A1,P53985,Monocarboxylate transporter 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0258,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC22A1,O15245,Solute carrier family 22 member 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.227,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC22A12,Q96S37,Solute carrier family 22 member 12,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0516,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC22A2,O15244,Solute carrier family 22 member 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.5242,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC47A2,Q86VL8,Multidrug and toxin extrusion protein 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1397,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLC5A2,P31639,Sodium/glucose cotransporter 2;Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),NetInfer;PASSTargets,2,NetInfer;PASSTargets,2,True,CrossDatabasePriority,False,True,True,True,False,False,False,False,False,True,True,,,,,,,,0.021,0.981711,33,Appears in at least two selected sources; not in the strict 25-gene set,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLCO1B1,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.41,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SLCO1B3,Q9NPD5,Solute carrier organic anion transporter family member 1B3,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.5,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMARCA2,P51531,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0192,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMN1,Q16637,Survival motor neuron protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.83,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMN2,Q16637,Survival motor neuron protein,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.83,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SMPD1,P17405,Sphingomyelin phosphodiesterase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0808,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SOAT1,P35610,Sterol O-acyltransferase 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1935,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SOAT2,O75908,Sterol O-acyltransferase 2,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0184,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
SRC,P12931,Proto-oncogene tyrosine-protein kinase Src,PharmMapper,1,PharmMapper,1,False,ExtendedPrediction,False,False,False,True,False,False,True,False,False,False,False,,,,0.7238,0.748216,,,,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
STING1,Q86WV6,Stimulator of interferon genes protein,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0369,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
STK25,O00506,Serine/threonine-protein kinase 25,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0854,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
STS,P08842,Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,1.52669,14,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TAB1,Q15750,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0333,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TBXAS1,P24557,Thromboxane-A synthase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1032,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TDP1,Q9NUW8,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),NetInfer,1,NetInfer,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,0.889927,37,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
THRB,P10828,Thyroid hormone receptor beta-1,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.43,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TNF,P01375,Tumor necrosis factor,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1438,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TOP1,P11387,DNA topoisomerase 1,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.2427,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TOP2A,P11388,DNA topoisomerase 2-alpha;DNA topoisomerase II alpha,PASSTargets;SuperPred,2,PASSTargets;SuperPred,2,True,Strict_and_CrossSupported,True,True,True,True,False,True,False,False,False,True,False,,0.8636,0.89,,,,,0.2638,,,Meets a strict predictor rule and appears in at least two selected sources,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TOP2B,Q02880,DNA topoisomerase 2-beta,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.1832,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TRIM24,O15164,Transcription intermediary factor 1-alpha,SuperPred,1,SuperPred,1,False,Strict,True,False,True,True,False,True,False,False,False,False,False,,0.8745,0.9556,,,,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TSHR,P16473,Thyroid stimulating hormone receptor,PPB3,1,PPB3,1,False,Strict,True,False,True,True,False,False,False,True,False,False,False,,,,,,0.35,,,,,Meets a strict predictor-specific threshold,"Prediction evidence only; database repetition is prioritization, not experimental validation."
TYR,P14679,Tyrosinase,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0244,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
VDR,P11473,Vitamin D3 receptor,PASSTargets,1,PASSTargets,1,False,ExtendedPrediction,False,False,False,True,False,False,False,False,False,True,False,,,,,,,,0.0061,,,Single-source extended prediction; sensitivity analysis only,"Prediction evidence only; database repetition is prioritization, not experimental validation."
