"Prediction_Source","Source_File","Source_Row","Pharma_Model","PDB_ID","Num_Feature","Fit","Norm_Fit","zscore","Target_Name_Raw","UniProt_Field_Raw","Class_Raw","Function_Raw","Disease_Raw","Indication_Raw","Mapping_Method","Mapping_Status","Gene_Symbol","UniProt_accession","UniProt_entry_name","UniProt_reviewed","Species","TaxID","Protein_Name_UniProt","Is_Human","Meets_Strict","Meets_Relaxed","Meets_Exploratory","Compound","PubChem_CID","Processing_Date"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","170","1mjt_v","1MJT","5","2.876","0.5751","0.480077","Nitric oxide synthase oxygenase","P0A094","NONE","Involved in nitric-oxide synthase activity","NONE","NONE","UniProt_field","mapped","nos","P0A094","NOSO_STAAW","reviewed","Staphylococcus aureus (strain MW2)","196620","Nitric oxide synthase oxygenase (EC 1.14.14.47) (NOSoxy-like protein) (SANOS)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","171","1utt_v","1UTT","5","2.872","0.5745","0.754345","Macrophage metalloelastase","MMP12_HUMAN","HYDROLASE","May be involved in tissue injury and remodeling. Has significant elastolytic activity. Can accept large and small amino acids at the P1 site, but has a preference for leucine. Aromatic or hydrophobic residues are preferred at the P1 site, with small hydr","NONE","Chronic obstructive pulmonary disease","UniProt_field","mapped","MMP12","P39900","MMP12_HUMAN","reviewed","Homo sapiens (Human)","9606","Macrophage metalloelastase (MME) (EC 3.4.24.65) (Macrophage elastase) (ME) (hME) (Matrix metalloproteinase-12) (MMP-12)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","172","1ujp_v","1UJP","5","2.872","0.5745","0.527807","Tryptophan synthase alpha chain","P16608","NONE","Amino acid transport and metabolism","NONE","NONE","UniProt_field","mapped","trpA","P16608","TRPA_THET2","reviewed","Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27)","262724","Tryptophan synthase alpha chain (EC 4.2.1.20)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","173","1ecb_v","1ECB","5","2.869","0.5738","0.567748","Amidophosphoribosyltransferase","P0AG16","NONE","Nucleotide transport and metabolism","NONE","NONE","UniProt_field","mapped","purF","P0AG16","PUR1_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","174","1mqo_v","1MQO","5","2.867","0.5734","0.225802","Beta-lactamase II","P04190","NONE","Involved in zinc ion binding","NONE","NONE","UniProt_field","mapped","blm","P04190","BLA2_BACCE","reviewed","Bacillus cereus","1396","Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase II) (Cephalosporinase) (Metallo-beta-lactamase type II) (Metallothioprotein beta-lactamase II) (Penicillinase) (Zinc-requiring beta-lactamase II)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","175","1pzm_v","1PZM","5","2.865","0.573","0.312371","Hypoxanthine-guanine phosphoribosyltransferase","Q9NJI5","NONE","Involved in hypoxanthine phosphoribosyltransferase activity","NONE","NONE","UniProt_field","mapped","hgprt","Q9NJI5","Q9NJI5_LEITA","unreviewed","Leishmania tarentolae (Sauroleishmania tarentolae)","5689","Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","176","1t7v_v","1T7V","4","2.289","0.5723","-0.532336","Zinc-alpha-2-glycoprotein","ZA2G_HUMAN","LIPID BINDING PROTEIN","Stimulates lipid degradation in adipocytes and causes the extensive fat losses associated with some advanced cancers. May bind polyunsaturated fatty acids.","NONE","NONE","UniProt_field","mapped","AZGP1","P25311","ZA2G_HUMAN","reviewed","Homo sapiens (Human)","9606","Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","177","1hk8_v","1HK8","5","2.859","0.5718","0.143639","Anaerobic ribonucleoside-triphosphate reductase","P07071","NONE","Nucleotide transport and metabolism","NONE","NONE","UniProt_field","mapped","nrdD","P07071","NRDD_BPT4","reviewed","Enterobacteria phage T4 (Bacteriophage T4)","10665","Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","178","1pvj_v","1PVJ","5","2.856","0.5712","0.915224","Streptopain","P0C0J0","NONE","Important streptococcal virulence factor which cleaves human fibronectin and degrades vitronectin. Also cleaves human IL1B precursor to form biologically active IL1B. Can induce apoptosis in human monocytes and epithelial cells in vitro, and reduces phagocytic activity in monocytic cells. Thus, may play a role in bacterial colonization, invasion, and inhibition of wound healing","NONE","NONE","UniProt_field","mapped","speB","P0C0J0","SPEB_STRPY","reviewed","Streptococcus pyogenes","1314","Streptopain (EC 3.4.22.10) (Exotoxin type B) (Group A streptococcal cysteine protease) (Streptococcal cysteine proteinase) (SPE B) (Streptococcus peptidase A) (SPP)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","179","1w55_v","1W55","5","2.855","0.5711","0.411791","Bifunctional enzyme ispD/ispF","Q9PM68","NONE","Lipid transport and metabolism","NONE","NONE","UniProt_field","mapped","ispDF","Q9PM68","ISPDF_CAMJE","reviewed","Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168)","192222","Bifunctional enzyme IspD/IspF [Includes: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT); 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)]","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","180","1eyn_v","1EYN","5","2.855","0.5711","0.845989","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","P33038","NONE","Cell wall/membrane/envelope biogenesis","NONE","NONE","UniProt_field","mapped","murA","P33038","MURA_ENTCC","reviewed","Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCTC 10005 / WDCM 00083 / NCDC 279-56)","716541","UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","181","2bes_v","2BES","4","2.28","0.5699","-0.72781","Ribose-5-phosphate isomerase B","Q79FD7","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","","Q79FD7","RPIB_MYCTU","","","","demerged","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","182","1hxp_v","1HXP","5","2.847","0.5693","0.704792","Galactose-1-phosphate uridylyltransferase","P09148","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","galT","P09148","GAL7_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","183","1jtk_v","1JTK","5","2.847","0.5693","0.923904","Cytidine deaminase","P19079","NONE","Nucleotide transport and metabolism","NONE","NONE","UniProt_field","mapped","cdd","P19079","CDD_BACSU","reviewed","Bacillus subtilis (strain 168)","224308","Cytidine deaminase (CDA) (EC 3.5.4.5) (Cytidine aminohydrolase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","184","1sid_v","1SID","5","2.846","0.5692","0.617028","Capsid protein VP1","P49302","NONE","Involved in structural molecule activity","NONE","NONE","UniProt_field","mapped","","P49302","VP1_POVMP","reviewed","Murine polyomavirus (strain P16 small-plaque) (MPyV)","47935","Capsid protein VP1","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","185","1e90_v","1E90","5","2.845","0.569","1.01714","Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma isoform","O02697","NONE","Involved in phosphotransferase activity, alcohol group as acceptor","NONE","NONE","UniProt_field","mapped","PIK3CG","O02697","PK3CG_PIG","reviewed","Sus scrofa (Pig)","9823","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","186","1e5i_v","1E5I","5","2.841","0.5681","0.47759","Deacetoxycephalosporin C synthetase","P18548","NONE","Involved in iron ion binding","NONE","NONE","UniProt_field","mapped","cefE","P18548","CEFE_STRCL","reviewed","Streptomyces clavuligerus","1901","Deacetoxycephalosporin C synthase (DAOCS) (EC 1.14.20.1) (Expandase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","187","1xie_v","1XIE","5","2.839","0.5679","0.387321","Xylose isomerase","P24300","NONE","Carbohydrate transport and metabolism","NONE","Used to treat vitamin C deficiency, scurvy, delayed wound and bone healing, urine acidification, and in general as an antioxidant. It has also been suggested to be an effective antiviral agent.","UniProt_field","mapped","xylA","P24300","XYLA_STREZ","reviewed","Streptomyces pseudogriseolus (Streptomyces gancidicus) (Streptomyces rubiginosus)","36817","Xylose isomerase (EC 5.3.1.5)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","188","1hfw_v","1HFW","5","2.839","0.5677","0.95686","L-asparaginase","P06608","NONE","Amino acid transport and metabolism","NONE","NONE","UniProt_field","mapped","ansB","P06608","ASPG_DICCH","reviewed","Dickeya chrysanthemi (Pectobacterium chrysanthemi) (Erwinia chrysanthemi)","556","L-asparaginase (L-ASNase) (EC 3.5.1.1) (L-asparagine amidohydrolase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","189","1rpa_v","1RPA","5","2.839","0.5677","0.186839","Prostatic acid phosphatase","P20646","NONE","Involved in acid phosphatase activity","NONE","NONE","UniProt_field","mapped","Acp3","P20646","PPAP_RAT","reviewed","Rattus norvegicus (Rat)","10116","Prostatic acid phosphatase (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Fluoride-resistant acid phosphatase) (FRAP) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","190","1gcz_v","1GCZ","4","2.269","0.5673","-1.03485","Macrophage migration inhibitory factor","MIF_HUMAN","IMMUNE SYSTEM","The expression of MIF at sites of inflammation suggest a role for the mediator in regulating the function of macrophage in host defense. Also acts as a phenylpyruvate tautomerase.","Genetic variations in MIF are associated with susceptibility to systemic juvenile rheumatoid arthritis [MIM:604302]. Systemic juvenile rheumatoid arthritis is juvenile chronic arthritis associated with severe, debilitating, extraarticular features, and occasionally fatal complications. Despite medical treatment, many children still experience early joint destruction, necessitating surgical replacement.","Insulin dependent diabetes;Glomerulonephritis;Cancer;Rheumatoid arthritis;Sepsis;Autoimmune disease;Atherosclerosis;Infection;Inflammation;Myocardial infarction;Immune disorder","UniProt_field","mapped","MIF","P14174","MIF_HUMAN","reviewed","Homo sapiens (Human)","9606","Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","191","1pbb_v","1PBB","5","2.836","0.5672","0.35767","P-hydroxybenzoate hydroxylase","P00438","NONE","Coenzyme transport and metabolism","NONE","For the treatment of tuberculosis","UniProt_field","mapped","pobA","P00438","PHHY_PSEFL","reviewed","Pseudomonas fluorescens","294","p-hydroxybenzoate hydroxylase (PHBH) (PHBHase) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","192","1jys_v","1JYS","5","2.836","0.5671","0.341323","5-methylthioadenosine/S-adenosylhomocysteine nucleosidase","MTNN_ECOLI","HYDROLASE","Catalyzes the irreversible cleavage of the glycosidic bond in both 5-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH/AdoHcy) to adenine and the corresponding thioribose, 5-methylthioribose and S-ribosylhomocysteine, respectively. Can also use","NONE","Bacterial infection","UniProt_field","mapped","","P24247","MTNN_ECOLI","","","","demerged","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","193","1lqp_v","1LQP","5","2.835","0.5671","0.225799","Glutathione transferase fosA","Q9I4K6","NONE","Metalloglutathione transferase which confers resistance to fosfomycin by catalyzing the addition of glutathione to fosfomycin.","NONE","NONE","UniProt_field","mapped","fosA","Q9I4K6","FOSA_PSEAE","reviewed","Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)","208964","Glutathione transferase FosA (EC 2.5.1.18) (Fosfomycin resistance protein)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","194","1gg1_v","1GG1","5","2.832","0.5664","0.119146","Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","P0AB91","NONE","Amino acid transport and metabolism","NONE","NONE","UniProt_field","mapped","aroG","P0AB91","AROG_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","195","1of6_v","1OF6","5","2.83","0.566","0.646196","Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited","P32449","NONE","Amino acid transport and metabolism","NONE","NONE","UniProt_field","mapped","ARO4","P32449","AROG_YEAST","reviewed","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)","559292","Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","196","1dzn_v","1DZN","4","2.263","0.5659","-0.925592","Vanillyl-alcohol oxidase","P56216","NONE","Energy production and conversion","NONE","NONE","UniProt_field","mapped","VAOA","P56216","VAOX_PENSI","reviewed","Penicillium simplicissimum (Spicaria simplicissima)","69488","Vanillyl-alcohol oxidase (EC 1.1.3.38) (4-allylphenol oxidase) (Aryl-alcohol oxidase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","197","1tl2_v","1TL2","4","2.263","0.5657","-0.70257","Tachylectin-2","Q27084","NONE","Lectin that binds specifically to N-acetylglucosamine and N-acetylgalactosamine. Is part of the innate immunity host defense system of the horseshoe crab.","NONE","NONE","UniProt_field","mapped","","Q27084","TAL2_TACTR","reviewed","Tachypleus tridentatus (Japanese horseshoe crab)","6853","Tachylectin-2 (Lectin L10c)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","198","1d8c_v","1D8C","4","2.262","0.5655","-0.760341","Malate synthase G","P37330","NONE","Energy production and conversion","NONE","NONE","UniProt_field","mapped","glcB","P37330","MASZ_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Malate synthase G (MSG) (EC 2.3.3.9)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","199","1uws_v","1UWS","5","2.827","0.5653","0.441867","Beta-galactosidase","P22498","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","lacS","P22498","BGAL_SACS2","reviewed","Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)","273057","Beta-galactosidase (Lactase) (EC 3.2.1.23)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","200","1rk2_v","1RK2","5","2.826","0.5653","0.676457","Ribokinase","P0A9J6","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","rbsK","P0A9J6","RBSK_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Ribokinase (RK) (EC 2.7.1.15)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","201","1imb_v","1IMB","5","2.815","0.563","-0.140232","Inositol monophosphatase","IMPA1_HUMAN","HYDROLASE","Responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides and has been implicated as the pharmacological target for lithium action in brain.","The blockade of inositol monophosphatase hydrolysis may underlie the anti-manic and anti-depressant actions of Li(+).","NONE","UniProt_field","mapped","IMPA1","P29218","IMPA1_HUMAN","reviewed","Homo sapiens (Human)","9606","Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","202","1dtn_v","1DTN","5","2.812","0.5625","0.323798","Mandelate racemase","P11444","NONE","Cell wall/membrane/envelope biogenesis","NONE","NONE","UniProt_field","mapped","mdlA","P11444","MANR_PSEPU","reviewed","Pseudomonas putida (Arthrobacter siderocapsulatus)","303","Mandelate racemase (MR) (EC 5.1.2.2)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","203","1lbc_v","1LBC","5","2.807","0.5614","0.660818","Glutamate receptor 2","GRIA2_RAT","MEMBRANE PROTEIN","Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L- glutamate induces a conformation change, leading to the opening of the cation c","NONE","NONE","UniProt_field","mapped","Gria2","P19491","GRIA2_RAT","reviewed","Rattus norvegicus (Rat)","10116","Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","204","1drj_v","1DRJ","5","2.807","0.5613","0.573516","D-ribose-binding periplasmic protein","P02925","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","rbsB","P02925","RBSB_ECOLI","reviewed","Escherichia coli (strain K12)","83333","Ribose import binding protein RbsB","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","205","1vh8_v","1VH8","4","2.245","0.5612","-1.92625","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","P44815","NONE","Involved in 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity","NONE","NONE","UniProt_field","mapped","ispF","P44815","ISPF_HAEIN","reviewed","Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)","71421","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","206","3fzl_v","3FZL","5","2.802","0.5605","0.89698","Heat shock cognate 71 kDa protein","P11142","NONE","Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). This is achieved through cycles of ATP binding, ATP hydrolysis and ADP release, mediated by co-chaperones (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). The co-chaperones have been shown to not only regulate different steps of the ATPase cycle of HSP70, but they also have an individual specificity such that one co-chaperone may promote folding of a substrate while another may promote degradation (PubMed:21150129, PubMed:21148293, PubMed:24732912, PubMed:27916661, PubMed:23018488). The affinity of HSP70 for polypeptides is regulated by its nucleotide bound state. In the ATP-bound form, it has a low affinity for substrate proteins. However, upon hydrolysis of the ATP to ADP, it undergoes a conformational change that increases its affinity for substrate proteins. HSP70 goes through repeated cycles of ATP hydrolysis and nucleotide exchange, which permits cycles of substrate binding and release. The HSP70-associated co-chaperones are of three types: J-domain co-chaperones HSP40s (stimulate ATPase hydrolysis by HSP70), the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release), and the TPR domain chaperones such as HOPX and STUB1 (PubMed:24318877, PubMed:27474739, PubMed:24121476, PubMed:26865365). Acts as a repressor of transcriptional activation. Inhibits the transcriptional coactivator activity of CITED1 on Smad-mediated transcription. Component of the PRP19-CDC5L complex that forms an integral part of the spliceosome and is required for activating pre-mRNA splicing. May have a scaffolding role in the spliceosome assembly as it contacts all other components of the core complex. Binds bacterial lipopolysaccharide (LPS) and mediates LPS-induced inflammatory response, including TNF secretion by monocytes (PubMed:10722728, PubMed:11276205). Participates in the ER-associated degradation (ERAD) quality control pathway in conjunction with J domain-containing co-chaperones and the E3 ligase STUB1 (PubMed:23990462).","NONE","NONE","UniProt_field","mapped","HSPA8","P11142","HSP7C_HUMAN","reviewed","Homo sapiens (Human)","9606","Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","207","1sr9_v","1SR9","5","2.797","0.5595","0.11965","2-isopropylmalate synthase","P96420","NONE","Amino acid transport and metabolism","NONE","NONE","UniProt_field","mapped","","P96420","LEU1_MYCTU","","","","demerged","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","208","1t6c_v","1T6C","4","2.237","0.5592","-1.09725","Exopolyphosphatase","O67040","NONE","Nucleotide transport and metabolism","NONE","NONE","UniProt_field","mapped","ppx","O67040","O67040_AQUAE","unreviewed","Aquifex aeolicus (strain VF5)","224324","Exopolyphosphatase","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","209","2dij_v","2DIJ","5","2.794","0.5589","0.822853","Cyclomaltodextrin glucanotransferase","P43379","NONE","Carbohydrate transport and metabolism","NONE","NONE","UniProt_field","mapped","cgt","P43379","CDGT2_NIACI","reviewed","Niallia circulans (Bacillus circulans)","1397","Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)","FALSE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
"2D_submission","260604095339-Structure2D_COMPOUND_CID_73581.sdf - Targets.csv","210","1dyt_v","1DYT","6","3.351","0.5584","2.64305","Eosinophil cationic protein","P12724","NONE","Involved in nucleic acid binding","NONE","Used as an adjunct to the standard therapy of inhaled steroids with inhaled long- and/or short-acting beta-agonists.","UniProt_field","mapped","RNASE3","P12724","ECP_HUMAN","reviewed","Homo sapiens (Human)","9606","Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Ribonuclease 3) (RNase 3)","TRUE","FALSE","FALSE","FALSE","Bilobalide","73581","2026-07-11"
